pitch_uid,pitch_no,date,pa_of_inning,pitch_of_pa,pitcher_name,pitcher_id,pitcher_throws,pitcher_team_id,pitcher_team_name,batter_name,batter_id,batter_side,batter_team_id,batter_team_name,inning,top_bottom,outs,balls,strikes,pitch_type,pitch_type_abbr,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,rel_speed,spin_rate,spin_axis,rel_height,rel_side,extension,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,vert_appr_angle,horz_appr_angle,exit_speed,launch_angle,distance,catcher_name,catcher_id,home_team_id,home_team_name,away_team_id,away_team_name,game_id,game_type,season,pitch_group,pitch_group_abbr,count_type,is_zone,is_strike,is_swing,pitch_call_prev,pitch_type_prev,pitch_group_prev,pa_id,pa_result,run_value_diff
2024-746665-176,176,8/30/24,2,4,"Hall, DL",669084,Left,MIL,MIL,"India, Jonathan",663697,Right,CIN,CIN,6,Bottom,1,1,2,Fastball,FB,StrikeCalled,Strikeout,NA,NA,NA,0,93.8,2100,132,5.52,-2.92,7.2,17.28,-7.92,1.87,-0.13,-5.293702568,2.298365767,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,Two Strikes,TRUE,TRUE,FALSE,FoulBall,Curveball,Breaking Ball,746665_6_2_669084_663697,Strikeout,-0.236340971
2024-746665-177,177,8/30/24,3,1,"Hall, DL",669084,Left,MIL,MIL,"De La Cruz, Elly",682829,Right,CIN,CIN,6,Bottom,2,0,0,Slider,SL,FoulBall,NA,NA,NA,NA,0,86.7,2602,284,5.52,-2.88,6.9,-0.72,7.8,1.47,0.09,-7.961150518,3.864177225,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Breaking Ball,BRK,F-Pitch,FALSE,TRUE,TRUE,NA,NA,NA,746665_6_3_669084_682829,NA,-0.055420604
2024-746665-178,178,8/30/24,3,2,"Hall, DL",669084,Left,MIL,MIL,"De La Cruz, Elly",682829,Right,CIN,CIN,6,Bottom,2,0,1,Fastball,FB,FoulBall,NA,NA,NA,NA,0,95,2267,132,5.59,-2.89,7,12.72,-8.4,2.47,0.43,-5.021459364,2.824723648,83.3,38,262,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,Early,TRUE,TRUE,TRUE,FoulBall,Slider,Breaking Ball,746665_6_3_669084_682829,NA,-0.075639955
2024-746665-179,179,8/30/24,3,3,"Hall, DL",669084,Left,MIL,MIL,"De La Cruz, Elly",682829,Right,CIN,CIN,6,Bottom,2,0,2,Fastball,FB,BallCalled,NA,NA,NA,NA,0,94,2130,147,5.79,-2.41,6.6,13.56,-6.36,4,-1.23,-3.643760514,0.706927273,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,Two Strikes,FALSE,FALSE,FALSE,FoulBall,Fastball,Fastball,746665_6_3_669084_682829,NA,0.026380078
2024-746665-180,180,8/30/24,3,4,"Hall, DL",669084,Left,MIL,MIL,"De La Cruz, Elly",682829,Right,CIN,CIN,6,Bottom,2,1,2,Curveball,CB,InPlay,NA,FlyBall,Out,1,0,81,2687,315,5.81,-2.59,6.7,-12.24,10.68,1.91,-0.22,-9.351164926,3.471925791,100.2,23,381,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Breaking Ball,BRK,Two Strikes,TRUE,TRUE,TRUE,BallCalled,Fastball,Fastball,746665_6_3_669084_682829,"In Play, Out",0.557009273
2024-746665-202,202,8/30/24,1,1,"Hall, DL",669084,Left,MIL,MIL,"Stephenson, Tyler",663886,Right,CIN,CIN,7,Bottom,0,0,0,Curveball,CB,StrikeCalled,NA,NA,NA,NA,0,79.5,2561,303,5.88,-2.97,6.6,-12.12,7.92,2.36,-0.91,-9.083023188,2.895202925,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Breaking Ball,BRK,F-Pitch,FALSE,TRUE,FALSE,NA,NA,NA,746665_7_1_669084_663886,NA,-0.055420604
2024-746665-203,203,8/30/24,1,2,"Hall, DL",669084,Left,MIL,MIL,"Stephenson, Tyler",663886,Right,CIN,CIN,7,Bottom,0,0,1,ChangeUp,CH,InPlay,NA,GroundBall,Out,1,0,84.3,2241,125,5.71,-2.86,6.8,10.8,-14.16,1.96,0,-6.865496044,1.811914381,87.7,-13,9,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Offspeed,OFF,Early,TRUE,TRUE,TRUE,StrikeCalled,Curveball,Breaking Ball,746665_7_1_669084_663886,"In Play, Out",-0.048895048
2024-746665-204,204,8/30/24,2,1,"Hall, DL",669084,Left,MIL,MIL,"Steer, Spencer",668715,Right,CIN,CIN,7,Bottom,1,0,0,ChangeUp,CH,StrikeCalled,NA,NA,NA,NA,0,82.3,2159,117,5.7,-3,6.6,10.68,-16.8,2.73,-0.9,-6.244696217,0.754446459,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Offspeed,OFF,F-Pitch,FALSE,TRUE,FALSE,NA,NA,NA,746665_7_2_669084_668715,NA,-0.055420604
2024-746665-205,205,8/30/24,2,2,"Hall, DL",669084,Left,MIL,MIL,"Steer, Spencer",668715,Right,CIN,CIN,7,Bottom,1,0,1,Fastball,FB,FoulBall,NA,NA,NA,NA,0,93.5,2269,139,5.81,-2.8,6.8,14.52,-6.24,3.27,0.53,-4.396239663,3.027865024,77.4,10,128,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,Early,TRUE,TRUE,TRUE,StrikeCalled,ChangeUp,Offspeed,746665_7_2_669084_668715,NA,-0.075639955
2024-746665-206,206,8/30/24,2,3,"Hall, DL",669084,Left,MIL,MIL,"Steer, Spencer",668715,Right,CIN,CIN,7,Bottom,1,0,2,Fastball,FB,BallCalled,NA,NA,NA,NA,0,93.5,2118,134,5.66,-2.79,7,13.2,-6.6,3.05,-1.28,-4.585057549,1.041072717,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,Two Strikes,FALSE,FALSE,FALSE,FoulBall,Fastball,Fastball,746665_7_2_669084_668715,NA,0.026380078
